sequence_id,predicted_token_count,mean_loss,negative_log_likelihood
0,8191,1.2735848426818848,10431.933446407318
1,8191,0.19993306696414948,1637.6517515033484
2,8191,1.2841858863830566,10518.766595363617
3,8191,1.4403890371322632,11798.226603150368
4,8191,1.5061880350112915,12337.186194777489
5,8191,1.3991619348526,11460.535408377647
6,8191,1.6121764183044434,13205.337042331696
7,8191,1.4938925504684448,12236.473880887032
8,8191,1.441793441772461,11809.730081558228
9,8191,1.1444967985153198,9374.573276638985
10,8191,1.060585618019104,8687.25679719448
11,8191,1.6363449096679688,13403.301155090332
12,8191,1.0884137153625488,8915.196742534637
13,8191,1.3315259218215942,10906.528825640678
14,8191,1.0331220626831055,8462.302815437317
15,8191,1.6656301021575928,13643.176166772842
16,8191,1.3115733861923218,10743.097606301308
17,8191,0.9580709934234619,7847.5595071315765
18,8191,1.6845614910125732,13798.243172883987
19,8191,1.810800313949585,14832.26537156105
20,8191,0.9966531991958618,8163.586354613304
21,8191,0.9777538776397705,8008.78201174736
22,8191,1.6012450456619263,13115.798169016838
23,8191,1.8012734651565552,14754.230953097343
24,8191,2.008066177368164,16448.070058822632
25,8191,1.447822093963623,11859.110771656036
26,8191,1.0034964084625244,8219.639081716537
27,8191,1.3016878366470337,10662.125069975853
28,8191,1.392557978630066,11406.44240295887
29,8191,1.1370582580566406,9313.644191741943
30,8191,1.2173749208450317,9971.517976641655
31,8191,1.3855191469192505,11348.78733241558
32,8191,0.9543928503990173,7817.431837618351
33,8191,1.5448640584945679,12653.981503129005
34,8191,1.0612128973007202,8692.3948417902
35,8191,1.4260939359664917,11681.135429501534
36,8191,1.0204044580459595,8358.132915854454
37,8191,1.1116409301757812,9105.450859069824
38,8191,1.620841383934021,13276.311775803566
39,8191,1.6999785900115967,13924.524630784988
40,8191,1.4570188522338867,11934.441418647766
41,8191,1.3285455703735352,10882.116766929626
42,8191,1.7882071733474731,14647.204956889153
43,8191,1.7285230159759521,14158.332023859024
44,8191,1.7895114421844482,14657.888222932816
45,8191,1.4681200981140137,12025.371723651886
46,8191,1.6298129558563232,13349.797921419144
47,8191,1.5895768404006958,13020.2238997221
48,8191,1.4481946229934692,11862.162156939507
49,8191,1.239983081817627,10156.701423168182
50,8191,1.482738733291626,12145.112964391708
51,8191,1.2945835590362549,10603.933932065964
52,8191,1.630797028541565,13357.858460783958
53,8191,1.350296139717102,11060.275680422783
54,8191,1.368011713027954,11205.383941411972
55,8191,1.4693944454193115,12035.80990242958
56,8191,1.573356032371521,12887.359261155128
57,8191,1.360373616218567,11142.820290446281
58,8191,1.3750696182250977,11263.195242881775
59,8191,1.7520650625228882,14351.164927124977
60,8191,1.5992156267166138,13099.175198435783
61,8191,1.1677757501602173,9565.25116956234
62,8191,1.7614855766296387,14428.32835817337
63,8191,1.336410403251648,10946.537613034248
64,8191,0.48945122957229614,4009.0950214266777
65,8191,1.3629428148269653,11163.864596247673
66,8191,1.2468701601028442,10213.113481402397
67,8191,0.870020866394043,7126.340916633606
68,8191,0.7759392857551575,6355.718689620495
69,8191,1.397943139076233,11450.552252173424
70,8191,1.7199496030807495,14088.10719883442
71,8191,1.4426932334899902,11817.10027551651
72,8191,1.193489670753479,9775.873893141747
73,8191,1.3460265398025513,11025.303387522697
74,8191,1.1593520641326904,9496.252757310867
75,8191,1.6520529985427856,13531.966111063957
76,8191,1.0025227069854736,8211.663492918015
77,8191,1.23443603515625,10111.265563964844
78,8191,0.9754081964492798,7989.568537116051
79,8191,1.118699550628662,9163.268019199371
80,8191,1.1822764873504639,9684.02670788765
81,8191,1.3770102262496948,11279.09076321125
82,8191,1.5807843208312988,12948.204371929169
83,8191,1.5650050640106201,12818.95647931099
84,8191,1.2428367137908936,10180.07552266121
85,8191,1.7064095735549927,13977.200816988945
86,8191,1.3900119066238403,11385.587527155876
87,8191,1.1066327095031738,9064.428523540497
88,8191,1.3153533935546875,10774.059646606445
89,8191,1.4795371294021606,12118.888626933098
90,8191,1.0120763778686523,8289.917611122131
91,8191,1.2878849506378174,10549.065630674362
