sequence_id,predicted_token_count,base_mean_loss,cpt_mean_loss,base_negative_log_likelihood,cpt_negative_log_likelihood,mean_loss_change
0,8191,1.2735848426818848,1.2633392810821533,10431.933446407318,10348.012051343918,-0.010245561599731445
1,8191,0.19993306696414948,0.19651177525520325,1637.6517515033484,1609.6279511153698,-0.003421291708946228
2,8191,1.2841858863830566,1.2711660861968994,10518.766595363617,10412.121412038803,-0.013019800186157227
3,8191,1.4403890371322632,1.415157437324524,11798.226603150368,11591.554569125175,-0.025231599807739258
4,8191,1.5061880350112915,1.458028793334961,12337.186194777489,11942.713846206665,-0.048159241676330566
5,8191,1.3991619348526,1.3439024686813354,11460.535408377647,11007.905120968819,-0.05525946617126465
6,8191,1.6121764183044434,1.5460432767868042,13205.337042331696,12663.640480160713,-0.06613314151763916
7,8191,1.4938925504684448,1.4434094429016113,12236.473880887032,11822.966746807098,-0.050483107566833496
8,8191,1.441793441772461,1.3709774017333984,11809.730081558228,11229.675897598267,-0.0708160400390625
9,8191,1.1444967985153198,1.0729854106903076,9374.573276638985,8788.82349896431,-0.07151138782501221
10,8191,1.060585618019104,0.9932568073272705,8687.25679719448,8135.766508817673,-0.0673288106918335
11,8191,1.6363449096679688,1.5657011270523071,13403.301155090332,12824.657931685448,-0.07064378261566162
12,8191,1.0884137153625488,1.0224814414978027,8915.196742534637,8375.145487308502,-0.0659322738647461
13,8191,1.3315259218215942,1.244202971458435,10906.528825640678,10191.266539216042,-0.08732295036315918
14,8191,1.0331220626831055,0.9539470672607422,8462.302815437317,7813.780427932739,-0.07917499542236328
15,8191,1.6656301021575928,1.5910459756851196,13643.176166772842,13032.257586836815,-0.07458412647247314
16,8191,1.3115733861923218,1.2363154888153076,10743.097606301308,10126.660168886185,-0.07525789737701416
17,8191,0.9580709934234619,0.8917846083641052,7847.5595071315765,7304.607727110386,-0.06628638505935669
18,8191,1.6845614910125732,1.60188889503479,13798.243172883987,13121.071939229965,-0.0826725959777832
19,8191,1.810800313949585,1.7372627258300781,14832.26537156105,14229.91898727417,-0.07353758811950684
20,8191,0.9966531991958618,0.9252956509590149,8163.586354613304,7579.096677005291,-0.07135754823684692
21,8191,0.9777538776397705,0.9093331694602966,8008.78201174736,7448.34799104929,-0.06842070817947388
22,8191,1.6012450456619263,1.5230927467346191,13115.798169016838,12475.652688503265,-0.07815229892730713
23,8191,1.8012734651565552,1.7285501956939697,14754.230953097343,14158.554652929306,-0.07272326946258545
24,8191,2.008066177368164,1.9387744665145874,16448.070058822632,15880.501655220985,-0.06929171085357666
25,8191,1.447822093963623,1.3788045644760132,11859.110771656036,11293.788187623024,-0.06901752948760986
26,8191,1.0034964084625244,0.9421555399894714,8219.639081716537,7717.1960280537605,-0.06134086847305298
27,8191,1.3016878366470337,1.2234569787979126,10662.125069975853,10021.336113333702,-0.0782308578491211
28,8191,1.392557978630066,1.3214328289031982,11406.44240295887,10823.856301546097,-0.07112514972686768
29,8191,1.1370582580566406,1.0752887725830078,9313.644191741943,8807.690336227417,-0.06176948547363281
30,8191,1.2173749208450317,1.146872639656067,9971.517976641655,9394.033791422844,-0.07050228118896484
31,8191,1.3855191469192505,1.3028388023376465,11348.78733241558,10671.552629947662,-0.082680344581604
32,8191,0.9543928503990173,0.8861514329910278,7817.431837618351,7258.466387629509,-0.0682414174079895
33,8191,1.5448640584945679,1.4842177629470825,12653.981503129005,12157.227696299553,-0.06064629554748535
34,8191,1.0612128973007202,1.009273648262024,8692.3948417902,8266.960452914238,-0.05193924903869629
35,8191,1.4260939359664917,1.3701003789901733,11681.135429501534,11222.49220430851,-0.05599355697631836
36,8191,1.0204044580459595,0.9754467010498047,8358.132915854454,7989.88392829895,-0.044957756996154785
37,8191,1.1116409301757812,1.0623054504394531,9105.450859069824,8701.34394454956,-0.049335479736328125
38,8191,1.620841383934021,1.5648834705352783,13276.311775803566,12817.960507154465,-0.055957913398742676
39,8191,1.6999785900115967,1.6368293762207031,13924.524630784988,13407.26942062378,-0.06314921379089355
40,8191,1.4570188522338867,1.3986002206802368,11934.441418647766,11455.93440759182,-0.0584186315536499
41,8191,1.3285455703735352,1.2731961011886597,10882.116766929626,10428.749264836311,-0.05534946918487549
42,8191,1.7882071733474731,1.7198736667633057,14647.204956889153,14087.485204458237,-0.06833350658416748
43,8191,1.7285230159759521,1.678770661354065,14158.332023859024,13750.810487151146,-0.04975235462188721
44,8191,1.7895114421844482,1.7525949478149414,14657.888222932816,14355.505217552185,-0.036916494369506836
45,8191,1.4681200981140137,1.4085522890090942,12025.371723651886,11537.45179927349,-0.059567809104919434
46,8191,1.6298129558563232,1.5900194644927979,13349.797921419144,13023.849433660507,-0.03979349136352539
47,8191,1.5895768404006958,1.523255467414856,13020.2238997221,12476.985533595085,-0.06632137298583984
48,8191,1.4481946229934692,1.3959410190582275,11862.162156939507,11434.152887105942,-0.0522536039352417
49,8191,1.239983081817627,1.1941848993301392,10156.701423168182,9781.56851041317,-0.04579818248748779
50,8191,1.482738733291626,1.4290751218795776,12145.112964391708,11705.55432331562,-0.05366361141204834
51,8191,1.2945835590362549,1.2534123659133911,10603.933932065964,10266.700689196587,-0.04117119312286377
52,8191,1.630797028541565,1.5773035287857056,13357.858460783958,12919.693204283714,-0.053493499755859375
53,8191,1.350296139717102,1.30202317237854,11060.275680422783,10664.871804952621,-0.04827296733856201
54,8191,1.368011713027954,1.3241770267486572,11205.383941411972,10846.334026098251,-0.043834686279296875
55,8191,1.4693944454193115,1.418931484222412,12035.80990242958,11622.467787265778,-0.050462961196899414
56,8191,1.573356032371521,1.5222021341323853,12887.359261155128,12468.357680678368,-0.05115389823913574
57,8191,1.360373616218567,1.3223402500152588,11142.820290446281,10831.288987874985,-0.038033366203308105
58,8191,1.3750696182250977,1.3283601999282837,11263.195242881775,10880.598397612572,-0.046709418296813965
59,8191,1.7520650625228882,1.7039434909820557,14351.164927124977,13957.001134634018,-0.04812157154083252
60,8191,1.5992156267166138,1.545451045036316,13099.175198435783,12658.789509892464,-0.05376458168029785
61,8191,1.1677757501602173,1.1267064809799194,9565.25116956234,9228.85278570652,-0.04106926918029785
62,8191,1.7614855766296387,1.6971373558044434,14428.32835817337,13901.252081394196,-0.06434822082519531
63,8191,1.336410403251648,1.28505277633667,10946.537613034248,10525.867290973663,-0.05135762691497803
64,8191,0.48945122957229614,0.4661598205566406,4009.0950214266777,3818.3150901794434,-0.023291409015655518
65,8191,1.3629428148269653,1.3066551685333252,11163.864596247673,10702.812485456467,-0.05628764629364014
66,8191,1.2468701601028442,1.2178481817245483,10213.113481402397,9975.394456505775,-0.0290219783782959
67,8191,0.870020866394043,0.8532019257545471,7126.340916633606,6988.576973855495,-0.01681894063949585
68,8191,0.7759392857551575,0.7639679908752441,6355.718689620495,6257.661813259125,-0.01197129487991333
69,8191,1.397943139076233,1.345805048942566,11450.552252173424,11023.489155888557,-0.05213809013366699
70,8191,1.7199496030807495,1.6525503396987915,14088.10719883442,13536.039832472801,-0.06739926338195801
71,8191,1.4426932334899902,1.3755005598068237,11817.10027551651,11266.725085377693,-0.0671926736831665
72,8191,1.193489670753479,1.1398814916610718,9775.873893141747,9336.769298195839,-0.05360817909240723
73,8191,1.3460265398025513,1.2761896848678589,11025.303387522697,10453.269708752632,-0.06983685493469238
74,8191,1.1593520641326904,1.1231690645217896,9496.252757310867,9199.877807497978,-0.03618299961090088
75,8191,1.6520529985427856,1.5950524806976318,13531.966111063957,13065.074869394302,-0.05700051784515381
76,8191,1.0025227069854736,0.9550781846046448,8211.663492918015,7823.045410096645,-0.04744452238082886
77,8191,1.23443603515625,1.1975303888320923,10111.265563964844,9808.971414923668,-0.036905646324157715
78,8191,0.9754081964492798,0.9509201645851135,7989.568537116051,7788.987068116665,-0.02448803186416626
79,8191,1.118699550628662,1.0583651065826416,9163.268019199371,8669.068588018417,-0.06033444404602051
80,8191,1.1822764873504639,1.1419336795806885,9684.02670788765,9353.57876944542,-0.04034280776977539
81,8191,1.3770102262496948,1.3103200197219849,11279.09076321125,10732.831281542778,-0.06669020652770996
82,8191,1.5807843208312988,1.5093446969985962,12948.204371929169,12363.042413115501,-0.07143962383270264
83,8191,1.5650050640106201,1.5197441577911377,12818.95647931099,12448.224396467209,-0.04526090621948242
84,8191,1.2428367137908936,1.2097584009170532,10180.07552266121,9909.131061911583,-0.03307831287384033
85,8191,1.7064095735549927,1.650175929069519,13977.200816988945,13516.59103500843,-0.05623364448547363
86,8191,1.3900119066238403,1.339637279510498,11385.587527155876,10972.96895647049,-0.050374627113342285
87,8191,1.1066327095031738,1.0449895858764648,9064.428523540497,8559.509697914124,-0.061643123626708984
88,8191,1.3153533935546875,1.2599928379058838,10774.059646606445,10320.601335287094,-0.05536055564880371
89,8191,1.4795371294021606,1.403528094291687,12118.888626933098,11496.298620343208,-0.07600903511047363
90,8191,1.0120763778686523,0.9590972661972046,8289.917611122131,7855.965707421303,-0.052979111671447754
91,8191,1.2878849506378174,1.2278337478637695,10549.065630674362,10057.186228752136,-0.06005120277404785
