sequence_id,predicted_token_count,mean_loss,negative_log_likelihood
0,8191,1.2633392810821533,10348.012051343918
1,8191,0.19651177525520325,1609.6279511153698
2,8191,1.2711660861968994,10412.121412038803
3,8191,1.415157437324524,11591.554569125175
4,8191,1.458028793334961,11942.713846206665
5,8191,1.3439024686813354,11007.905120968819
6,8191,1.5460432767868042,12663.640480160713
7,8191,1.4434094429016113,11822.966746807098
8,8191,1.3709774017333984,11229.675897598267
9,8191,1.0729854106903076,8788.82349896431
10,8191,0.9932568073272705,8135.766508817673
11,8191,1.5657011270523071,12824.657931685448
12,8191,1.0224814414978027,8375.145487308502
13,8191,1.244202971458435,10191.266539216042
14,8191,0.9539470672607422,7813.780427932739
15,8191,1.5910459756851196,13032.257586836815
16,8191,1.2363154888153076,10126.660168886185
17,8191,0.8917846083641052,7304.607727110386
18,8191,1.60188889503479,13121.071939229965
19,8191,1.7372627258300781,14229.91898727417
20,8191,0.9252956509590149,7579.096677005291
21,8191,0.9093331694602966,7448.34799104929
22,8191,1.5230927467346191,12475.652688503265
23,8191,1.7285501956939697,14158.554652929306
24,8191,1.9387744665145874,15880.501655220985
25,8191,1.3788045644760132,11293.788187623024
26,8191,0.9421555399894714,7717.1960280537605
27,8191,1.2234569787979126,10021.336113333702
28,8191,1.3214328289031982,10823.856301546097
29,8191,1.0752887725830078,8807.690336227417
30,8191,1.146872639656067,9394.033791422844
31,8191,1.3028388023376465,10671.552629947662
32,8191,0.8861514329910278,7258.466387629509
33,8191,1.4842177629470825,12157.227696299553
34,8191,1.009273648262024,8266.960452914238
35,8191,1.3701003789901733,11222.49220430851
36,8191,0.9754467010498047,7989.88392829895
37,8191,1.0623054504394531,8701.34394454956
38,8191,1.5648834705352783,12817.960507154465
39,8191,1.6368293762207031,13407.26942062378
40,8191,1.3986002206802368,11455.93440759182
41,8191,1.2731961011886597,10428.749264836311
42,8191,1.7198736667633057,14087.485204458237
43,8191,1.678770661354065,13750.810487151146
44,8191,1.7525949478149414,14355.505217552185
45,8191,1.4085522890090942,11537.45179927349
46,8191,1.5900194644927979,13023.849433660507
47,8191,1.523255467414856,12476.985533595085
48,8191,1.3959410190582275,11434.152887105942
49,8191,1.1941848993301392,9781.56851041317
50,8191,1.4290751218795776,11705.55432331562
51,8191,1.2534123659133911,10266.700689196587
52,8191,1.5773035287857056,12919.693204283714
53,8191,1.30202317237854,10664.871804952621
54,8191,1.3241770267486572,10846.334026098251
55,8191,1.418931484222412,11622.467787265778
56,8191,1.5222021341323853,12468.357680678368
57,8191,1.3223402500152588,10831.288987874985
58,8191,1.3283601999282837,10880.598397612572
59,8191,1.7039434909820557,13957.001134634018
60,8191,1.545451045036316,12658.789509892464
61,8191,1.1267064809799194,9228.85278570652
62,8191,1.6971373558044434,13901.252081394196
63,8191,1.28505277633667,10525.867290973663
64,8191,0.4661598205566406,3818.3150901794434
65,8191,1.3066551685333252,10702.812485456467
66,8191,1.2178481817245483,9975.394456505775
67,8191,0.8532019257545471,6988.576973855495
68,8191,0.7639679908752441,6257.661813259125
69,8191,1.345805048942566,11023.489155888557
70,8191,1.6525503396987915,13536.039832472801
71,8191,1.3755005598068237,11266.725085377693
72,8191,1.1398814916610718,9336.769298195839
73,8191,1.2761896848678589,10453.269708752632
74,8191,1.1231690645217896,9199.877807497978
75,8191,1.5950524806976318,13065.074869394302
76,8191,0.9550781846046448,7823.045410096645
77,8191,1.1975303888320923,9808.971414923668
78,8191,0.9509201645851135,7788.987068116665
79,8191,1.0583651065826416,8669.068588018417
80,8191,1.1419336795806885,9353.57876944542
81,8191,1.3103200197219849,10732.831281542778
82,8191,1.5093446969985962,12363.042413115501
83,8191,1.5197441577911377,12448.224396467209
84,8191,1.2097584009170532,9909.131061911583
85,8191,1.650175929069519,13516.59103500843
86,8191,1.339637279510498,10972.96895647049
87,8191,1.0449895858764648,8559.509697914124
88,8191,1.2599928379058838,10320.601335287094
89,8191,1.403528094291687,11496.298620343208
90,8191,0.9590972661972046,7855.965707421303
91,8191,1.2278337478637695,10057.186228752136
